nmse_best,nmse_min,nmse_avg_full,nmse_avg_sub,base_r_best,base_r_max,base_r_avg_full,base_r_avg_sub,r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma
1.167842984199523926e+00,1.713890552520751953e+00,inf,1.928320312500000000e+01,4.853486418724060059e-01,4.253358840942382812e-01,9.761737287044525146e-02,1.911612451076507568e-01,4.853486418724060059e-01,4.253358840942382812e-01,9.761737287044525146e-02,1.911612451076507568e-01,2.858799934387207031e+01,2.878000068664550781e+01,-1.000000000000000000e+00
1.167842984199523926e+00,7.818367004394531250e+00,inf,2.226748466491699219e+01,4.853486418724060059e-01,2.714705765247344971e-01,9.615722298622131348e-02,1.868029236793518066e-01,4.853486418724060059e-01,2.714705765247344971e-01,9.615722298622131348e-02,1.868029236793518066e-01,2.831599998474121094e+01,2.615999984741210938e+01,-1.000000000000000000e+00
1.167842984199523926e+00,1.713890552520751953e+00,inf,2.048884963989257812e+01,4.853486418724060059e-01,4.253358840942382812e-01,9.296546131372451782e-02,2.017187625169754028e-01,4.853486418724060059e-01,4.253358840942382812e-01,9.296546131372451782e-02,2.017187625169754028e-01,2.825600051879882812e+01,2.712000083923339844e+01,-1.000000000000000000e+00
1.167842984199523926e+00,2.745139598846435547e+00,inf,2.537047576904296875e+01,4.853486418724060059e-01,4.052761793136596680e-01,9.484747797250747681e-02,2.009321600198745728e-01,4.853486418724060059e-01,4.052761793136596680e-01,9.484747797250747681e-02,2.009321600198745728e-01,2.873399925231933594e+01,2.855999946594238281e+01,-1.000000000000000000e+00
4.533407092094421387e-01,4.533407092094421387e-01,inf,1.983871078491210938e+01,4.853486418724060059e-01,4.747943878173828125e-01,9.792142361402511597e-02,2.050479203462600708e-01,4.853486418724060059e-01,4.747943878173828125e-01,9.792142361402511597e-02,2.050479203462600708e-01,2.862599945068359375e+01,2.852000045776367188e+01,-1.000000000000000000e+00
4.533407092094421387e-01,3.188917875289916992e+00,inf,1.832250213623046875e+01,4.853486418724060059e-01,4.297178685665130615e-01,9.615657478570938110e-02,1.993311643600463867e-01,4.853486418724060059e-01,4.297178685665130615e-01,9.615657478570938110e-02,1.993311643600463867e-01,2.798399925231933594e+01,2.555999946594238281e+01,-1.000000000000000000e+00
4.533407092094421387e-01,7.113215446472167969e+00,inf,2.524577713012695312e+01,4.853486418724060059e-01,2.688450813293457031e-01,9.145408868789672852e-02,1.842797100543975830e-01,4.853486418724060059e-01,2.688450813293457031e-01,9.145408868789672852e-02,1.842797100543975830e-01,2.833200073242187500e+01,2.720000076293945312e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.598353505134582520e+00,inf,1.983255577087402344e+01,4.853486418724060059e-01,4.289895594120025635e-01,9.721945226192474365e-02,1.952627152204513550e-01,4.853486418724060059e-01,4.289895594120025635e-01,9.721945226192474365e-02,1.952627152204513550e-01,2.810400009155273438e+01,2.681999969482421875e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.944644212722778320e+00,inf,1.867173004150390625e+01,4.853486418724060059e-01,3.105726540088653564e-01,9.268850088119506836e-02,1.902700364589691162e-01,4.853486418724060059e-01,3.105726540088653564e-01,9.268850088119506836e-02,1.902700364589691162e-01,2.811000061035156250e+01,2.745999908447265625e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.507501363754272461e+00,inf,2.597214698791503906e+01,4.853486418724060059e-01,3.827203214168548584e-01,9.563987702131271362e-02,1.851692199707031250e-01,4.853486418724060059e-01,3.827203214168548584e-01,9.563987702131271362e-02,1.851692199707031250e-01,2.822200012207031250e+01,2.710000038146972656e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.057320499420166016e+01,inf,1.974662780761718750e+01,4.853486418724060059e-01,2.615292966365814209e-01,9.914658963680267334e-02,1.936646848917007446e-01,4.853486418724060059e-01,2.615292966365814209e-01,9.914658963680267334e-02,1.936646848917007446e-01,2.794400024414062500e+01,2.655999946594238281e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.746285200119018555e+00,inf,2.076119232177734375e+01,4.853486418724060059e-01,4.242511093616485596e-01,1.005000248551368713e-01,1.947163045406341553e-01,4.853486418724060059e-01,4.242511093616485596e-01,1.005000248551368713e-01,1.947163045406341553e-01,2.844199943542480469e+01,2.713999938964843750e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.359131574630737305e+00,inf,2.069308853149414062e+01,4.853486418724060059e-01,4.398701786994934082e-01,9.539014846086502075e-02,1.941707730293273926e-01,4.853486418724060059e-01,4.398701786994934082e-01,9.539014846086502075e-02,1.941707730293273926e-01,2.825799942016601562e+01,2.947999954223632812e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.211550354957580566e+00,inf,1.835649681091308594e+01,4.853486418724060059e-01,4.796487092971801758e-01,9.976559877395629883e-02,2.065721452236175537e-01,4.853486418724060059e-01,4.796487092971801758e-01,9.976559877395629883e-02,2.065721452236175537e-01,2.837000083923339844e+01,2.747999954223632812e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.746285200119018555e+00,inf,1.785291481018066406e+01,4.853486418724060059e-01,4.242511093616485596e-01,9.745649993419647217e-02,2.040684670209884644e-01,4.853486418724060059e-01,4.242511093616485596e-01,9.745649993419647217e-02,2.040684670209884644e-01,2.812400054931640625e+01,2.762000083923339844e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.181497573852539062e+00,inf,2.212072944641113281e+01,4.853486418724060059e-01,3.739700019359588623e-01,9.176825731992721558e-02,1.855707913637161255e-01,4.853486418724060059e-01,3.739700019359588623e-01,9.176825731992721558e-02,1.855707913637161255e-01,2.879400062561035156e+01,2.823999977111816406e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.810313701629638672e+00,inf,1.900067138671875000e+01,4.853486418724060059e-01,3.549642264842987061e-01,9.360457211732864380e-02,1.951802819967269897e-01,4.853486418724060059e-01,3.549642264842987061e-01,9.360457211732864380e-02,1.951802819967269897e-01,2.817600059509277344e+01,2.854000091552734375e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.494425773620605469e+00,inf,2.227151489257812500e+01,4.853486418724060059e-01,3.746419250965118408e-01,9.504041820764541626e-02,1.944978237152099609e-01,4.853486418724060059e-01,3.746419250965118408e-01,9.504041820764541626e-02,1.944978237152099609e-01,2.834399986267089844e+01,2.715999984741210938e+01,-1.000000000000000000e+00
4.533407092094421387e-01,3.392392396926879883e+00,inf,2.960436399964160000e+15,4.853486418724060059e-01,2.849002778530120850e-01,9.540016204118728638e-02,1.858158856630325317e-01,4.853486418724060059e-01,2.849002778530120850e-01,9.540016204118728638e-02,1.858158856630325317e-01,2.812000083923339844e+01,2.779999923706054688e+01,-1.000000000000000000e+00
4.533407092094421387e-01,8.010884284973144531e+00,inf,4.111093139648437500e+01,4.853486418724060059e-01,2.388171851634979248e-01,9.560253471136093140e-02,1.874924749135971069e-01,4.853486418724060059e-01,2.388171851634979248e-01,9.560253471136093140e-02,1.874924749135971069e-01,2.799200057983398438e+01,2.655999946594238281e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.713890552520751953e+00,inf,2.060247802734375000e+01,4.853486418724060059e-01,4.253358840942382812e-01,9.793627262115478516e-02,1.979049742221832275e-01,4.853486418724060059e-01,4.253358840942382812e-01,9.793627262115478516e-02,1.979049742221832275e-01,2.824600028991699219e+01,2.681999969482421875e+01,-1.000000000000000000e+00
4.533407092094421387e-01,8.651038169860839844e+00,inf,2.051455116271972656e+01,4.853486418724060059e-01,3.400546312332153320e-01,9.973916411399841309e-02,1.899433135986328125e-01,4.853486418724060059e-01,3.400546312332153320e-01,9.973916411399841309e-02,1.899433135986328125e-01,2.814999961853027344e+01,2.850000000000000000e+01,-1.000000000000000000e+00
4.533407092094421387e-01,3.553879499435424805e+00,inf,1.981827735900878906e+01,4.853486418724060059e-01,3.351409435272216797e-01,9.544667601585388184e-02,1.955743730068206787e-01,4.853486418724060059e-01,3.351409435272216797e-01,9.544667601585388184e-02,1.955743730068206787e-01,2.801799964904785156e+01,2.852000045776367188e+01,-1.000000000000000000e+00
4.533407092094421387e-01,5.221785545349121094e+00,inf,1.792427062988281250e+01,4.853486418724060059e-01,3.279189169406890869e-01,1.000210866332054138e-01,1.928811371326446533e-01,4.853486418724060059e-01,3.279189169406890869e-01,1.000210866332054138e-01,1.928811371326446533e-01,2.788999938964843750e+01,2.876000022888183594e+01,-1.000000000000000000e+00
4.533407092094421387e-01,3.403873205184936523e+00,inf,1.781039810180664062e+01,4.853486418724060059e-01,3.480424582958221436e-01,9.689956158399581909e-02,2.037958353757858276e-01,4.853486418724060059e-01,3.480424582958221436e-01,9.689956158399581909e-02,2.037958353757858276e-01,2.822800064086914062e+01,2.665999984741210938e+01,-1.000000000000000000e+00
4.533407092094421387e-01,1.746285200119018555e+00,inf,3.267377853393554688e+01,4.853486418724060059e-01,4.242511093616485596e-01,9.977712482213973999e-02,1.998557150363922119e-01,4.853486418724060059e-01,4.242511093616485596e-01,9.977712482213973999e-02,1.998557150363922119e-01,2.775399971008300781e+01,2.745999908447265625e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.625741243362426758e+00,inf,2.197446632385253906e+01,4.853486418724060059e-01,2.614228129386901855e-01,9.677023440599441528e-02,1.901984065771102905e-01,4.853486418724060059e-01,2.614228129386901855e-01,9.677023440599441528e-02,1.901984065771102905e-01,2.783799934387207031e+01,2.771999931335449219e+01,-1.000000000000000000e+00
4.533407092094421387e-01,2.077004432678222656e+00,inf,1.988732910156250000e+01,4.853486418724060059e-01,3.290318548679351807e-01,9.604538232088088989e-02,1.910978406667709351e-01,4.853486418724060059e-01,3.290318548679351807e-01,9.604538232088088989e-02,1.910978406667709351e-01,2.760799980163574219e+01,2.660000038146972656e+01,-1.000000000000000000e+00
3.363325297832489014e-01,3.363325297832489014e-01,inf,1.897052574157714844e+01,6.198371052742004395e-01,6.198371052742004395e-01,1.025697141885757446e-01,2.036658376455307007e-01,6.198371052742004395e-01,6.198371052742004395e-01,1.025697141885757446e-01,2.036658376455307007e-01,2.806599998474121094e+01,2.678000068664550781e+01,-1.000000000000000000e+00
3.363325297832489014e-01,1.713890552520751953e+00,inf,1.825157737731933594e+01,6.198371052742004395e-01,4.253358840942382812e-01,9.988773614168167114e-02,2.026730477809906006e-01,6.198371052742004395e-01,4.253358840942382812e-01,9.988773614168167114e-02,2.026730477809906006e-01,2.761599922180175781e+01,2.912000083923339844e+01,-1.000000000000000000e+00
3.363325297832489014e-01,8.430734276771545410e-01,inf,1.765147399902343750e+01,6.198371052742004395e-01,5.058616995811462402e-01,9.773265570402145386e-02,1.996772438287734985e-01,6.198371052742004395e-01,5.058616995811462402e-01,9.773265570402145386e-02,1.996772438287734985e-01,2.776799964904785156e+01,2.668000030517578125e+01,-1.000000000000000000e+00
3.363325297832489014e-01,2.406821489334106445e+00,inf,1.765997886657714844e+01,6.198371052742004395e-01,3.747829198837280273e-01,1.025339290499687195e-01,2.002486586570739746e-01,6.198371052742004395e-01,3.747829198837280273e-01,1.025339290499687195e-01,2.002486586570739746e-01,2.809000015258789062e+01,2.573999977111816406e+01,-1.000000000000000000e+00
3.363325297832489014e-01,8.739634156227111816e-01,inf,1.630972099304199219e+01,6.198371052742004395e-01,5.238019227981567383e-01,1.018727049231529236e-01,2.125722914934158325e-01,6.198371052742004395e-01,5.238019227981567383e-01,1.018727049231529236e-01,2.125722914934158325e-01,2.765999984741210938e+01,2.578000068664550781e+01,-1.000000000000000000e+00
3.363325297832489014e-01,5.095052242279052734e+00,inf,1.814076042175292969e+01,6.198371052742004395e-01,2.719019055366516113e-01,1.023445948958396912e-01,1.956531256437301636e-01,6.198371052742004395e-01,2.719019055366516113e-01,1.023445948958396912e-01,1.956531256437301636e-01,2.750799942016601562e+01,2.589999961853027344e+01,-1.000000000000000000e+00
3.363325297832489014e-01,7.596288204193115234e+00,inf,2.109077262878417969e+01,6.198371052742004395e-01,2.525178194046020508e-01,9.617511928081512451e-02,1.844105571508407593e-01,6.198371052742004395e-01,2.525178194046020508e-01,9.617511928081512451e-02,1.844105571508407593e-01,2.790800094604492188e+01,2.562000083923339844e+01,-1.000000000000000000e+00
3.363325297832489014e-01,1.734174847602844238e+00,inf,1.758298492431640625e+01,6.198371052742004395e-01,4.891902506351470947e-01,9.942612051963806152e-02,2.093921601772308350e-01,6.198371052742004395e-01,4.891902506351470947e-01,9.942612051963806152e-02,2.093921601772308350e-01,2.749600028991699219e+01,2.728000068664550781e+01,-1.000000000000000000e+00
3.363325297832489014e-01,4.625640392303466797e+00,inf,1.689844131469726562e+01,6.198371052742004395e-01,3.215894401073455811e-01,1.008301004767417908e-01,1.995029300451278687e-01,6.198371052742004395e-01,3.215894401073455811e-01,1.008301004767417908e-01,1.995029300451278687e-01,2.769599914550781250e+01,2.497999954223632812e+01,-1.000000000000000000e+00
3.363325297832489014e-01,2.679848194122314453e+00,inf,1.886118888854980469e+01,6.198371052742004395e-01,3.573918938636779785e-01,1.034455522894859314e-01,2.016143500804901123e-01,6.198371052742004395e-01,3.573918938636779785e-01,1.034455522894859314e-01,2.016143500804901123e-01,2.770800018310546875e+01,2.737999916076660156e+01,-1.000000000000000000e+00
3.363325297832489014e-01,1.882789850234985352e+00,inf,1.888211822509765625e+01,6.198371052742004395e-01,4.022723734378814697e-01,1.018368005752563477e-01,1.989491283893585205e-01,6.198371052742004395e-01,4.022723734378814697e-01,1.018368005752563477e-01,1.989491283893585205e-01,2.795599937438964844e+01,2.820000076293945312e+01,-1.000000000000000000e+00
3.363325297832489014e-01,1.983366608619689941e+00,inf,1.880984115600585938e+01,6.198371052742004395e-01,4.069225788116455078e-01,9.630201756954193115e-02,2.015722990036010742e-01,6.198371052742004395e-01,4.069225788116455078e-01,9.630201756954193115e-02,2.015722990036010742e-01,2.784600067138671875e+01,2.670000076293945312e+01,-1.000000000000000000e+00
3.363325297832489014e-01,4.401477575302124023e-01,inf,4.648515701293945312e+01,6.198371052742004395e-01,6.056842803955078125e-01,1.044986173510551453e-01,2.080968916416168213e-01,6.198371052742004395e-01,6.056842803955078125e-01,1.044986173510551453e-01,2.080968916416168213e-01,2.768799972534179688e+01,2.763999938964843750e+01,-1.000000000000000000e+00
3.363325297832489014e-01,8.430734276771545410e-01,inf,1.811052513122558594e+01,6.198371052742004395e-01,5.058616995811462402e-01,1.011413857340812683e-01,2.000074982643127441e-01,6.198371052742004395e-01,5.058616995811462402e-01,1.011413857340812683e-01,2.000074982643127441e-01,2.767600059509277344e+01,2.671999931335449219e+01,-1.000000000000000000e+00
3.363325297832489014e-01,2.330770969390869141e+00,inf,1.880671882629394531e+01,6.198371052742004395e-01,3.727165460586547852e-01,1.092154830694198608e-01,2.092859894037246704e-01,6.198371052742004395e-01,3.727165460586547852e-01,1.092154830694198608e-01,2.092859894037246704e-01,2.764200019836425781e+01,2.634000015258789062e+01,-1.000000000000000000e+00
3.363325297832489014e-01,4.910224914550781250e+00,inf,1.824818420410156250e+01,6.198371052742004395e-01,4.337353706359863281e-01,9.909923374652862549e-02,1.996700316667556763e-01,6.198371052742004395e-01,4.337353706359863281e-01,9.909923374652862549e-02,1.996700316667556763e-01,2.760799980163574219e+01,2.754000091552734375e+01,-1.000000000000000000e+00
3.363325297832489014e-01,2.082217693328857422e+00,inf,1.713555717468261719e+01,6.198371052742004395e-01,3.887439966201782227e-01,1.003862321376800537e-01,2.045878022909164429e-01,6.198371052742004395e-01,3.887439966201782227e-01,1.003862321376800537e-01,2.045878022909164429e-01,2.790999984741210938e+01,2.695999908447265625e+01,-1.000000000000000000e+00
3.363325297832489014e-01,2.070164203643798828e+00,inf,1.702656173706054688e+01,6.198371052742004395e-01,3.933732211589813232e-01,1.019850224256515503e-01,1.979293376207351685e-01,6.198371052742004395e-01,3.933732211589813232e-01,1.019850224256515503e-01,1.979293376207351685e-01,2.780400085449218750e+01,2.665999984741210938e+01,-1.000000000000000000e+00
3.363325297832489014e-01,1.279228210449218750e+00,inf,1.694745635986328125e+01,6.198371052742004395e-01,4.501110613346099854e-01,9.869788587093353271e-02,2.004274278879165649e-01,6.198371052742004395e-01,4.501110613346099854e-01,9.869788587093353271e-02,2.004274278879165649e-01,2.734600067138671875e+01,2.710000038146972656e+01,-1.000000000000000000e+00
